Country,Año,Trimestre,Mes,Día,Month Name,Product,Segment,Suma de  Sales,Avg Sale per Unit,Suma de COGS,Suma de Discounts,Suma de Gross Sales,Suma de Manufacturing Price,Suma de Month Number,Suma de Profit,Profit Margin %,Suma de Sale Price,Total COGS,Suma de Units Sold,Suma de Year,Discount Band
Canada,2013,Qtr 4,octubre,1,October,VTT,Government,26391,19 €,13890,1389,27780,250,10,12501,47.368421052631575,20,13890 €,1389,2013,Medium
Canada,2013,Qtr 4,octubre,1,October,VTT,Small Business,69402,258 €,67250,11298,80700,250,10,2152,3.10077519379845,300,67250 €,269,2013,High
Canada,2013,Qtr 4,noviembre,1,November,Carretera,Midmarket,20826,"13,35 €",15600,2574,23400,3,11,5226,25.0936329588015,15,15600 €,1560,2013,High
Canada,2013,Qtr 4,noviembre,1,November,Paseo,Channel Partners,22931.04,"10,32 €",6666,3732.96,26664,10,11,16265.04,70.93023255813954,12,6666 €,2222,2013,High
Canada,2013,Qtr 4,noviembre,1,November,Paseo,Government,603750,350 €,448500,0,603750,10,11,155250,25.71428571428571,350,448500 €,1725,2013,None
Canada,2013,Qtr 4,noviembre,1,November,Paseo,Small Business,391716,279 €,351000,29484,421200,10,11,40716,10.39426523297491,300,351000 €,1404,2013,Medium
Canada,2013,Qtr 4,noviembre,1,November,Velo,Government,14497.56,"6,93 €",10460,146.44,14644,120,11,4037.56,27.84992784992785,7,10460 €,2092,2013,Low
Canada,2013,Qtr 4,noviembre,1,November,VTT,Enterprise,313862.5,"106,25 €",354480,55387.5,369250,250,11,-40617.5,-12.941176470588237,125,354480 €,2954,2013,High
Canada,2013,Qtr 4,noviembre,1,November,VTT,Government,52243,"17,8 €",29350,6457,58700,250,11,22893,43.82022471910113,20,29350 €,2935,2013,High
Canada,2013,Qtr 4,diciembre,1,December,Amarilla,Government,597408,336 €,462280,24892,622300,260,12,135128,22.61904761904762,350,462280 €,1778,2013,Low
Canada,2013,Qtr 4,diciembre,1,December,Carretera,Channel Partners,10569.12,"11,64 €",2724,326.88,10896,3,12,7845.12,74.22680412371135,12,2724 €,908,2013,Low
Canada,2013,Qtr 4,diciembre,1,December,Montana,Government,10262.07,"6,37 €",8055,1014.93,11277,5,12,2207.07,21.50706436420722,7,8055 €,1611,2013,Medium
Canada,2013,Qtr 4,diciembre,1,December,Paseo,Government,34238,19 €,18020,1802,36040,10,12,16218,47.368421052631575,20,18020 €,1802,2013,Medium
Canada,2013,Qtr 4,diciembre,1,December,Paseo,Midmarket,32280,15 €,21520,0,32280,10,12,10760,33.33333333333333,15,21520 €,2152,2013,None
Canada,2013,Qtr 4,diciembre,1,December,Velo,Enterprise,215550,"112,5 €",229920,23950,239500,120,12,-14370,-6.666666666666667,125,229920 €,1916,2013,High
Canada,2013,Qtr 4,diciembre,1,December,VTT,Small Business,686952,282 €,609000,43848,730800,250,12,77952,11.347517730496454,300,609000 €,2436,2013,Medium
Canada,2014,Qtr 1,enero,1,January,Amarilla,Enterprise,180416.25,"108,75 €",199080,26958.75,207375,260,1,-18663.75,-10.344827586206897,125,199080 €,1659,2014,High
Canada,2014,Qtr 1,enero,1,January,Carretera,Government,32370,"20,0062 €",16185,0,32370,3,1,16185,50,20,16185 €,1618,2014,None
Canada,2014,Qtr 1,enero,1,January,Montana,Government,670477.5,"300,9325 €",579150,109147.5,779625,5,1,91327.5,13.621262458471762,350,579150 €,2228,2014,High
Canada,2014,Qtr 1,enero,1,January,Paseo,Government,28566.72,"6,72 €",21255,1190.28,29757,10,1,7311.72,25.595238095238095,7,21255 €,4251,2014,Low
Canada,2014,Qtr 1,enero,1,January,Paseo,Small Business,233091,267 €,218250,28809,261900,10,1,14841,6.367041198501873,300,218250 €,873,2014,High
Canada,2014,Qtr 1,enero,1,January,Velo,Midmarket,5126.4,"13,35 €",3840,633.6,5760,120,1,1286.4,25.0936329588015,15,3840 €,384,2014,High
Canada,2014,Qtr 1,enero,1,January,VTT,Channel Partners,36208.62,"11,1617 €",9733.5,2725.38,38934,250,1,26475.12,73.11827956989248,12,"9733,5 €",3244,2014,Medium
Canada,2014,Qtr 1,febrero,1,February,Amarilla,Government,705600,315 €,582400,78400,784000,260,2,123200,17.46031746031746,350,582400 €,2240,2014,High
Canada,2014,Qtr 1,febrero,1,February,Carretera,Channel Partners,20687.16,"10,68 €",5811,2556.84,23244,3,2,14876.16,71.91011235955057,12,5811 €,1937,2014,High
Canada,2014,Qtr 1,febrero,1,February,Montana,Government,3142.72,"6,44 €",2440,273.28,3416,5,2,702.72,22.36024844720497,7,2440 €,488,2014,Medium
Canada,2014,Qtr 1,febrero,1,February,Paseo,Government,5840,20 €,2920,0,5840,10,2,2920,50,20,2920 €,292,2014,None
Canada,2014,Qtr 1,febrero,1,February,Paseo,Midmarket,34736.1,"14,7 €",23630,708.9,35445,10,2,11106.1,31.97278911564626,15,23630 €,2363,2014,Low
Canada,2014,Qtr 1,febrero,1,February,Velo,Enterprise,111860,"117,5 €",114240,7140,119000,120,2,-2380,-2.127659574468085,125,114240 €,952,2014,Medium
Canada,2014,Qtr 1,febrero,1,February,VTT,Small Business,600300,300 €,500250,0,600300,250,2,100050,16.666666666666664,300,500250 €,2001,2014,None
Canada,2014,Qtr 1,marzo,1,March,Amarilla,Small Business,229104,258 €,222000,37296,266400,260,3,7104,3.10077519379845,300,222000 €,888,2014,High
Canada,2014,Qtr 1,marzo,1,March,Carretera,Government,281053.5,"304,5 €",239980,41996.5,323050,3,3,41073.5,14.614121510673234,350,239980 €,923,2014,High
Canada,2014,Qtr 1,marzo,1,March,Montana,Midmarket,28324.8,"14,4 €",19670,1180.2,29505,5,3,8654.8,30.555555555555557,15,19670 €,1967,2014,Low
Canada,2014,Qtr 1,marzo,1,March,Paseo,Enterprise,215097.5,"121,25 €",212880,6652.5,221750,10,3,2217.5,1.0309278350515463,125,212880 €,1774,2014,Low
Canada,2014,Qtr 1,marzo,1,March,Paseo,Government,41761.6,"17,2 €",24280,6798.4,48560,10,3,17481.6,41.86046511627907,20,24280 €,2428,2014,High
Canada,2014,Qtr 1,marzo,1,March,Velo,Channel Partners,6601.92,"11,04 €",1794,574.08,7176,120,3,4807.92,72.82608695652173,12,1794 €,598,2014,Medium
Canada,2014,Qtr 1,marzo,1,March,VTT,Government,9189.18,"6,93 €",6630,92.82,9282,250,3,2559.18,27.84992784992785,7,6630 €,1326,2014,Low
Canada,2014,Qtr 2,abril,1,April,Amarilla,Channel Partners,38021.4,"10,8015 €",10561.5,4224.6,42246,260,4,27459.9,72.22222222222221,12,"10561,5 €",3520,2014,High
Canada,2014,Qtr 2,abril,1,April,Carretera,Enterprise,90956.25,"122,5825 €",89100,1856.25,92812.5,3,4,1856.25,2.0408163265306123,125,89100 €,742,2014,Low
Canada,2014,Qtr 2,abril,1,April,Montana,Small Business,1038082.5,"273,0359 €",950625,102667.5,1140750,5,4,87457.5,8.424908424908425,300,950625 €,3802,2014,Medium
Canada,2014,Qtr 2,abril,1,April,Paseo,Government,4301.85,"5,95 €",3615,759.15,5061,10,4,686.85,15.966386554621847,7,3615 €,723,2014,High
Canada,2014,Qtr 2,abril,1,April,Paseo,Midmarket,20578.5,"12,75 €",16140,3631.5,24210,10,4,4438.5,21.568627450980394,15,16140 €,1614,2014,High
Canada,2014,Qtr 2,abril,1,April,Velo,Government,74699.7,"19,4025 €",38505,2310.3,77010,120,4,36194.7,48.45360824742268,20,38505 €,3850,2014,Low
Canada,2014,Qtr 2,abril,1,April,VTT,Government,326922.75,"346,3165 €",245310,3302.25,330225,250,4,81612.75,24.963924963924963,350,245310 €,944,2014,Low
Canada,2014,Qtr 2,mayo,1,May,Amarilla,Enterprise,191231.25,"116,25 €",197400,14393.75,205625,260,5,-6168.75,-3.225806451612903,125,197400 €,1645,2014,Medium
Canada,2014,Qtr 2,mayo,1,May,Carretera,Government,16121.4,"19,4 €",8310,498.6,16620,3,5,7811.4,48.45360824742268,20,8310 €,831,2014,Low
Canada,2014,Qtr 2,mayo,1,May,Montana,Government,60200,301 €,52000,9800,70000,5,5,8200,13.621262458471762,350,52000 €,200,2014,High
Canada,2014,Qtr 2,mayo,1,May,Paseo,Government,1655.08,"6,44 €",1285,143.92,1799,10,5,370.08,22.36024844720497,7,1285 €,257,2014,Medium
Canada,2014,Qtr 2,mayo,1,May,Paseo,Small Business,474858,279 €,425500,35742,510600,10,5,49358,10.39426523297491,300,425500 €,1702,2014,Medium
Canada,2014,Qtr 2,mayo,1,May,Velo,Midmarket,17604.9,"13,95 €",12620,1325.1,18930,120,5,4984.9,28.31541218637993,15,12620 €,1262,2014,Medium
Canada,2014,Qtr 2,mayo,1,May,VTT,Channel Partners,22271.04,"10,56 €",6327,3036.96,25308,250,5,15944.04,71.5909090909091,12,6327 €,2109,2014,High
Canada,2014,Qtr 2,junio,1,June,Amarilla,Government,20416.05,"11,0776 €",12755,1688.95,22105,520,12,7661.05,37.52464360148021,27,12755 €,1843,4028,Medium
Canada,2014,Qtr 2,junio,1,June,Carretera,Midmarket,40100.4,"14,1 €",28440,2559.6,42660,3,6,11660.4,29.078014184397162,15,28440 €,2844,2014,Medium
Canada,2014,Qtr 2,junio,1,June,Carretera,Small Business,298662,273 €,273500,29538,328200,3,6,25162,8.424908424908425,300,273500 €,1094,2014,Medium
Canada,2014,Qtr 2,junio,1,June,Montana,Channel Partners,30216,12 €,7554,0,30216,5,6,22662,75,12,7554 €,2518,2014,None
Canada,2014,Qtr 2,junio,1,June,Montana,Government,13027.2,"18,4 €",7080,1132.8,14160,5,6,5947.2,45.65217391304348,20,7080 €,708,2014,Medium
Canada,2014,Qtr 2,junio,1,June,Paseo,Channel Partners,30216,12 €,7554,0,30216,10,6,22662,75,12,7554 €,2518,2014,None
Canada,2014,Qtr 2,junio,1,June,Paseo,Enterprise,172151.25,"108,75 €",189960,25723.75,197875,10,6,-17808.75,-10.344827586206897,125,189960 €,1583,2014,High
Canada,2014,Qtr 2,junio,1,June,Paseo,Government,801444,"304,5 €",684320,119756,921200,10,6,117124,14.614121510673234,350,684320 €,2632,2014,High
Canada,2014,Qtr 2,junio,1,June,Paseo,Small Business,298662,273 €,273500,29538,328200,10,6,25162,8.424908424908425,300,273500 €,1094,2014,Medium
Canada,2014,Qtr 2,junio,1,June,Velo,Government,801444,"304,5 €",684320,119756,921200,120,6,117124,14.614121510673234,350,684320 €,2632,2014,High
Canada,2014,Qtr 2,junio,1,June,Velo,Government,7388.85,"6,51 €",5675,556.15,7945,120,6,1713.85,23.195084485407065,7,5675 €,1135,2014,Medium
Canada,2014,Qtr 2,junio,1,June,VTT,Enterprise,172151.25,"108,75 €",189960,25723.75,197875,250,6,-17808.75,-10.344827586206897,125,189960 €,1583,2014,High
Canada,2014,Qtr 2,junio,1,June,VTT,Midmarket,40100.4,"14,1 €",28440,2559.6,42660,250,6,11660.4,29.078014184397162,15,28440 €,2844,2014,Medium
Canada,2014,Qtr 3,julio,1,July,Amarilla,Midmarket,22256.325,"13,6542 €",16305,2201.175,24457.5,260,7,5951.325,26.73992673992674,15,16305 €,1630,2014,Medium
Canada,2014,Qtr 3,julio,1,July,Carretera,Government,5217.03,"6,37 €",4095,515.97,5733,3,7,1122.03,21.50706436420722,7,4095 €,819,2014,Medium
Canada,2014,Qtr 3,julio,1,July,Montana,Enterprise,333187.5,"124,9766 €",319860,0,333187.5,5,7,13327.5,4,125,319860 €,2666,2014,None
Canada,2014,Qtr 3,julio,1,July,Paseo,Channel Partners,42997.68,"10,68 €",12078,5314.32,48312,10,7,30919.68,71.91011235955057,12,12078 €,4026,2014,High
Canada,2014,Qtr 3,julio,1,July,Paseo,Government,655551.75,"311,574 €",547170,81023.25,736575,10,7,108381.75,16.53290529695024,350,547170 €,2104,2014,High
Canada,2014,Qtr 3,julio,1,July,Velo,Small Business,1035625.5,"272,964 €",948375,102424.5,1138050,120,7,87250.5,8.424908424908425,300,948375 €,3794,2014,Medium
Canada,2014,Qtr 3,julio,1,July,VTT,Government,14713.5,"16,9902 €",8655,2596.5,17310,250,7,6058.5,41.17647058823529,20,8655 €,866,2014,High
Canada,2014,Qtr 3,agosto,1,August,Amarilla,Government,183540,"332,5 €",143520,9660,193200,260,8,40020,21.804511278195488,350,143520 €,552,2014,Medium
Canada,2014,Qtr 3,agosto,1,August,Carretera,Channel Partners,21025.44,"11,16 €",5652,1582.56,22608,3,8,15373.44,73.11827956989248,12,5652 €,1884,2014,Medium
Canada,2014,Qtr 3,agosto,1,August,Montana,Government,12681.9,"6,93 €",9150,128.1,12810,5,8,3531.9,27.84992784992785,7,9150 €,1830,2014,Low
Canada,2014,Qtr 3,agosto,1,August,Paseo,Government,42613.2,"17,8 €",23940,5266.8,47880,10,8,18673.2,43.82022471910113,20,23940 €,2394,2014,High
Canada,2014,Qtr 3,agosto,1,August,Paseo,Midmarket,32627.25,"12,75 €",25590,5757.75,38385,10,8,7037.25,21.568627450980394,15,25590 €,2559,2014,High
Canada,2014,Qtr 3,agosto,1,August,Velo,Enterprise,114221.25,"123,75 €",110760,1153.75,115375,120,8,3461.25,3.0303030303030303,125,110760 €,923,2014,Low
Canada,2014,Qtr 3,agosto,1,August,VTT,Small Business,545334,291 €,468500,16866,562200,250,8,76834,14.0893470790378,300,468500 €,1874,2014,Low
Canada,2014,Qtr 3,septiembre,1,September,Amarilla,Government,222705,315 €,183820,24745,247450,260,9,38885,17.46031746031746,350,183820 €,707,2014,High
Canada,2014,Qtr 3,septiembre,1,September,Carretera,Channel Partners,17166.6,"11,88 €",4335,173.4,17340,3,9,12831.6,74.74747474747475,12,4335 €,1445,2014,Low
Canada,2014,Qtr 3,septiembre,1,September,Montana,Government,2335.76,"6,02 €",1940,380.24,2716,5,9,395.76,16.943521594684384,7,1940 €,388,2014,High
Canada,2014,Qtr 3,septiembre,1,September,Paseo,Government,39820.8,"19,2 €",20740,1659.2,41480,10,9,19080.8,47.91666666666667,20,20740 €,2074,2014,Low
Canada,2014,Qtr 3,septiembre,1,September,Paseo,Midmarket,3139.2,"14,4 €",2180,130.8,3270,10,9,959.2,30.555555555555557,15,2180 €,218,2014,Low
Canada,2014,Qtr 3,septiembre,1,September,Velo,Enterprise,64496.25,"113,75 €",68040,6378.75,70875,120,9,-3543.75,-5.4945054945054945,125,68040 €,567,2014,Medium
Canada,2014,Qtr 3,septiembre,1,September,VTT,Small Business,588984,276 €,533500,51216,640200,250,9,55484,9.420289855072465,300,533500 €,2134,2014,Medium
Canada,2014,Qtr 4,octubre,1,October,Amarilla,Government,16841.44,"6,16 €",13670,2296.56,19138,260,10,3171.44,18.83116883116883,7,13670 €,2734,2014,High
Canada,2014,Qtr 4,octubre,1,October,Amarilla,Government,404176.5,"318,5 €",329940,39973.5,444150,260,10,74236.5,18.367346938775512,350,329940 €,1269,2014,Medium
Canada,2014,Qtr 4,octubre,1,October,Carretera,Channel Partners,15229.2,"11,76 €",3885,310.8,15540,3,10,11344.2,74.48979591836735,12,3885 €,1295,2014,Low
Canada,2014,Qtr 4,octubre,1,October,Carretera,Small Business,385968,258 €,374000,62832,448800,3,10,11968,3.10077519379845,300,374000 €,1496,2014,High
Canada,2014,Qtr 4,octubre,1,October,Montana,Government,38574.04,"9,6847 €",26160,5543.96,44118,10,20,12414.04,32.18236928255376,27,26160 €,3983,4028,High
Canada,2014,Qtr 4,octubre,1,October,Paseo,Channel Partners,15229.2,"11,76 €",3885,310.8,15540,10,10,11344.2,74.48979591836735,12,3885 €,1295,2014,Low
Canada,2014,Qtr 4,octubre,1,October,Paseo,Enterprise,243591.25,"121,25 €",241080,7533.75,251125,10,10,2511.25,1.0309278350515463,125,241080 €,2009,2014,Low
Canada,2014,Qtr 4,octubre,1,October,Paseo,Government,21732.6,"17,4 €",12490,3247.4,24980,10,10,9242.6,42.5287356321839,20,12490 €,1249,2014,High
Canada,2014,Qtr 4,octubre,1,October,Paseo,Midmarket,20423.25,"13,05 €",15650,3051.75,23475,10,10,4773.25,23.371647509578544,15,15650 €,1565,2014,High
Canada,2014,Qtr 4,octubre,1,October,Velo,Enterprise,243591.25,"121,25 €",241080,7533.75,251125,120,10,2511.25,1.0309278350515463,125,241080 €,2009,2014,Low
Canada,2014,Qtr 4,octubre,1,October,Velo,Government,404176.5,"318,5 €",329940,39973.5,444150,120,10,74236.5,18.367346938775512,350,329940 €,1269,2014,Medium
Canada,2014,Qtr 4,octubre,1,October,VTT,Midmarket,20423.25,"13,05 €",15650,3051.75,23475,250,10,4773.25,23.371647509578544,15,15650 €,1565,2014,High
Canada,2014,Qtr 4,octubre,1,October,VTT,Small Business,385968,258 €,374000,62832,448800,250,10,11968,3.10077519379845,300,374000 €,1496,2014,High
Canada,2014,Qtr 4,noviembre,1,November,Amarilla,Government,20794.8,"18,6 €",11180,1565.2,22360,260,11,9614.8,46.236559139784944,20,11180 €,1118,2014,Medium
Canada,2014,Qtr 4,noviembre,1,November,Carretera,Midmarket,35494.8,"13,2 €",26890,4840.2,40335,3,11,8604.8,24.242424242424242,15,26890 €,2689,2014,High
Canada,2014,Qtr 4,noviembre,1,November,Montana,Channel Partners,25345.32,"10,92 €",6963,2506.68,27852,5,11,18382.32,72.52747252747253,12,6963 €,2321,2014,Medium
Canada,2014,Qtr 4,noviembre,1,November,Paseo,Government,210700,301 €,182000,34300,245000,10,11,28700,13.621262458471762,350,182000 €,700,2014,High
Canada,2014,Qtr 4,noviembre,1,November,Paseo,Small Business,364722,267 €,341500,45078,409800,10,11,23222,6.367041198501873,300,341500 €,1366,2014,High
Canada,2014,Qtr 4,noviembre,1,November,Velo,Government,11263.84,"6,23 €",9040,1392.16,12656,120,11,2223.84,19.743178170144464,7,9040 €,1808,2014,High
Canada,2014,Qtr 4,noviembre,1,November,VTT,Enterprise,284512.5,"112,5 €",303480,31612.5,316125,250,11,-18967.5,-6.666666666666667,125,303480 €,2529,2014,High
Canada,2014,Qtr 4,diciembre,1,December,Amarilla,Small Business,563304,294 €,479000,11496,574800,260,12,84304,14.965986394557824,300,479000 €,1916,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,Carretera,Government,978236,343 €,741520,19964,998200,3,12,236716,24.198250728862973,350,741520 €,2852,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,Carretera,Midmarket,29670,"12,9 €",23000,4830,34500,3,12,6670,22.48062015503876,15,23000 €,2300,2014,High
Canada,2014,Qtr 4,diciembre,1,December,Montana,Midmarket,29670,"12,9 €",23000,4830,34500,5,12,6670,22.48062015503876,15,23000 €,2300,2014,High
Canada,2014,Qtr 4,diciembre,1,December,Paseo,Channel Partners,27713.4,"11,4 €",7293,1458.6,29172,10,12,20420.4,73.68421052631578,12,7293 €,2431,2014,Medium
Canada,2014,Qtr 4,diciembre,1,December,Paseo,Enterprise,334302.5,"122,5 €",327480,6822.5,341125,10,12,6822.5,2.0408163265306123,125,327480 €,2729,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,Paseo,Government,978236,343 €,741520,19964,998200,10,12,236716,24.198250728862973,350,741520 €,2852,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,Paseo,Government,36340,20 €,18170,0,36340,10,12,18170,50,20,18170 €,1817,2014,None
Canada,2014,Qtr 4,diciembre,1,December,Paseo,Small Business,563304,294 €,479000,11496,574800,10,12,84304,14.965986394557824,300,479000 €,1916,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,Velo,Channel Partners,27713.4,"11,4 €",7293,1458.6,29172,120,12,20420.4,73.68421052631578,12,7293 €,2431,2014,Medium
Canada,2014,Qtr 4,diciembre,1,December,Velo,Government,10298.82,"6,51 €",7910,775.18,11074,120,12,2388.82,23.195084485407065,7,7910 €,1582,2014,Medium
Canada,2014,Qtr 4,diciembre,1,December,VTT,Enterprise,334302.5,"122,5 €",327480,6822.5,341125,250,12,6822.5,2.0408163265306123,125,327480 €,2729,2014,Low
Canada,2014,Qtr 4,diciembre,1,December,VTT,Government,10298.82,"6,51 €",7910,775.18,11074,250,12,2388.82,23.195084485407065,7,7910 €,1582,2014,Medium
Canada,2014,Qtr 4,diciembre,1,December,VTT,Government,36340,20 €,18170,0,36340,250,12,18170,50,20,18170 €,1817,2014,None
France,2013,Qtr 3,septiembre,1,September,Carretera,Enterprise,109972.5,"107,5 €",122760,17902.5,127875,3,9,-12787.5,-11.627906976744185,125,122760 €,1023,2013,High
France,2013,Qtr 3,septiembre,1,September,Montana,Small Business,87906,273 €,80500,8694,96600,5,9,7406,8.424908424908425,300,80500 €,322,2013,Medium
France,2013,Qtr 3,septiembre,1,September,Paseo,Government,6711.81,"6,51 €",5155,505.19,7217,10,9,1556.81,23.195084485407065,7,5155 €,1031,2013,Medium
France,2013,Qtr 3,septiembre,1,September,Paseo,Midmarket,8235,15 €,5490,0,8235,10,9,2745,33.33333333333333,15,5490 €,549,2013,None
France,2013,Qtr 3,septiembre,1,September,Velo,Government,49929,"17,8 €",28050,6171,56100,120,9,21879,43.82022471910113,20,28050 €,2805,2013,High
France,2013,Qtr 3,septiembre,1,September,VTT,Channel Partners,24395.28,"10,92 €",6702,2412.72,26808,250,9,17693.28,72.52747252747253,12,6702 €,2234,2013,Medium
France,2013,Qtr 3,septiembre,1,September,VTT,Government,534450,350 €,397020,0,534450,250,9,137430,25.71428571428571,350,397020 €,1527,2013,None
France,2013,Qtr 4,octubre,1,October,Amarilla,Government,692235.74,"198,9755 €",546775,44185.26,736421,520,20,145460.74,21.013179700892067,357,546775 €,3479,4026,Medium
France,2013,Qtr 4,octubre,1,October,Carretera,Channel Partners,12794.64,"10,68 €",3594,1581.36,14376,3,10,9200.64,71.91011235955057,12,3594 €,1198,2013,High
France,2013,Qtr 4,octubre,1,October,Montana,Government,42263.34,"13,3745 €",24585,2697.66,44961,10,20,17678.34,41.829017772849944,27,24585 €,3160,4026,Medium
France,2013,Qtr 4,octubre,1,October,Paseo,Channel Partners,12794.64,"10,68 €",3594,1581.36,14376,10,10,9200.64,71.91011235955057,12,3594 €,1198,2013,High
France,2013,Qtr 4,octubre,1,October,Paseo,Enterprise,83600,"118,75 €",84480,4400,88000,10,10,-880,-1.0526315789473684,125,84480 €,704,2013,Medium
France,2013,Qtr 4,octubre,1,October,Paseo,Government,33031.6,"18,8 €",17570,2108.4,35140,10,10,15461.6,46.808510638297875,20,17570 €,1757,2013,Medium
France,2013,Qtr 4,octubre,1,October,Paseo,Midmarket,29254.5,"13,5 €",21670,3250.5,32505,10,10,7584.5,25.925925925925924,15,21670 €,2167,2013,High
France,2013,Qtr 4,octubre,1,October,Velo,Enterprise,83600,"118,75 €",84480,4400,88000,120,10,-880,-1.0526315789473684,125,84480 €,704,2013,Medium
France,2013,Qtr 4,octubre,1,October,Velo,Government,683004,329 €,539760,43596,726600,120,10,143244,20.972644376899694,350,539760 €,2076,2013,Medium
France,2013,Qtr 4,octubre,1,October,Velo,Small Business,344322,282 €,305250,21978,366300,120,10,39072,11.347517730496454,300,305250 €,1221,2013,Medium
France,2013,Qtr 4,octubre,1,October,VTT,Midmarket,29254.5,"13,5 €",21670,3250.5,32505,250,10,7584.5,25.925925925925924,15,21670 €,2167,2013,High
France,2013,Qtr 4,octubre,1,October,VTT,Small Business,344322,282 €,305250,21978,366300,250,10,39072,11.347517730496454,300,305250 €,1221,2013,Medium
France,2013,Qtr 4,noviembre,1,November,Amarilla,Midmarket,4766.85,"14,85 €",3210,48.15,4815,260,11,1556.85,32.659932659932664,15,3210 €,321,2013,Low
France,2013,Qtr 4,noviembre,1,November,Carretera,Government,14714.7,"6,86 €",10725,300.3,15015,3,11,3989.7,27.113702623906704,7,10725 €,2145,2013,Low
France,2013,Qtr 4,noviembre,1,November,Montana,Enterprise,211233.75,"113,75 €",222840,20891.25,232125,5,11,-11606.25,-5.4945054945054945,125,222840 €,1857,2013,Medium
France,2013,Qtr 4,noviembre,1,November,Paseo,Channel Partners,20991.6,"11,76 €",5355,428.4,21420,10,11,15636.6,74.48979591836735,12,5355 €,1785,2013,Low
France,2013,Qtr 4,noviembre,1,November,Paseo,Government,578522,301 €,499720,94178,672700,10,11,78802,13.621262458471762,350,499720 €,1922,2013,High
France,2013,Qtr 4,noviembre,1,November,Velo,Small Business,106536,276 €,96500,9264,115800,120,11,10036,9.420289855072465,300,96500 €,386,2013,Medium
France,2013,Qtr 4,noviembre,1,November,VTT,Government,48812.4,"18,2 €",26820,4827.6,53640,250,11,21992.4,45.05494505494506,20,26820 €,2682,2013,Medium
